recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
32000,538,172,2020-12-11,77,3020,Kannur,22916,23454,35198
,161,,2020-5-27,24,84,Kannur,10657,10818,
,114,,2020-4-27,5,49,Kannur,2654,2768,
,108,,2020-3-31,37,48,Kannur,10941,11049,
,111,,2020-4-10,19,38,Kannur,8071,8182,
,41,,2020-5-10,11,3,Kannur,409,450,
,101,,2020-4-6,30,48,Kannur,10794,10895,
,55,,2020-5-6,7,18,Kannur,525,580,
40141,374,232,2021-1-16,56,2853,Kannur,13651,14025,43240
41063,468,242,2021-1-21,66,3226,Kannur,12685,13153,44547
5022,1025,36,2020-9-20,150,2753,Kannur,14415,15440,7814
1739,736,16,2020-8-20,134,684,Kannur,8268,9004,2441
,543,,2020-8-17,46,588,Kannur,8536,9079,
4605,1031,36,2020-9-17,112,2376,Kannur,14094,15125,7020
10398,1180,61,2020-10-10,161,6211,Kannur,15284,16464,16673
22679,900,130,2020-11-10,75,4931,Kannur,18064,18964,27745
34309,563,189,2020-12-23,42,3476,Kannur,15991,16554,37982
,407,,2020-8-1,27,487,Kannur,9418,9825,
2765,1052,26,2020-9-1,100,880,Kannur,10416,11468,3673
45530,473,267,2021-2-9,32,3864,Kannur,13856,14329,49684
41795,503,244,2021-1-24,56,3486,Kannur,12447,12950,45542
39808,379,226,2021-1-13,55,2766,Kannur,13423,13802,42814
37386,428,211,2021-1-5,43,3215,Kannur,12007,12435,40824
,206,,2020-6-19,27,123,Kannur,14740,14946,
,427,,2020-7-19,42,371,Kannur,18637,19064,
,108,,2020-4-3,24,52,Kannur,10244,10352,
17450,1025,101,2020-10-27,108,5635,Kannur,18147,19172,23190
28620,584,154,2020-11-27,45,3078,Kannur,16319,16903,31858
,82,,2020-5-3,7,37,Kannur,2462,2544,
32393,524,180,2020-12-14,64,3191,Kannur,21825,22349,35770
,115,,2020-4-15,14,44,Kannur,6898,7013,
,51,,2020-5-15,11,6,Kannur,4869,4920,
,107,,2020-5-22,27,36,Kannur,8775,8882,
,98,,2020-4-22,16,60,Kannur,3140,3238,
12403,1046,71,2020-10-15,116,6113,Kannur,15041,16087,18590
24728,763,138,2020-11-15,77,4290,Kannur,16890,17653,29161
35049,479,193,2020-12-26,51,3381,Kannur,13171,13650,38631
,351,,2020-8-4,56,398,Kannur,9154,9505,
3102,950,29,2020-9-4,103,871,Kannur,11260,12210,4004
,85,,2020-3-28,17,26,Kannur,10321,10406,
,433,,2020-8-12,55,448,Kannur,8494,8927,
3878,1486,35,2020-9-12,122,1918,Kannur,12382,13868,5834
,14,,2020-3-9,4,1,Kannur,69,83,
6065,1072,40,2020-9-25,159,3353,Kannur,13251,14323,9461
2071,865,18,2020-8-25,122,859,Kannur,9326,10191,2950
,111,,2020-4-18,25,50,Kannur,5823,5934,
,56,,2020-5-18,22,9,Kannur,6957,7013,
9182,1389,59,2020-10-7,144,5769,Kannur,14064,15453,15013
22231,842,123,2020-11-7,82,4589,Kannur,18499,19341,26948
,206,,2020-6-14,28,136,Kannur,23988,24194,
,410,,2020-7-14,63,326,Kannur,24884,25294,
